File Name,Domain Name, Private_IP_Found_In_Default_DNS,Private_IP_Found_In_Public_DNS,Default DNS IP's found in Public DNS, Domain Doesn't Work but IP Does,Response Code,Default DNS IP Address,Public DNS Response Codes,All Domain Response Codes,All Default DNS Response Codes,All Public DNS Response Codes,ISP DNS Response Contradiction Public DNS Response between results,Method
"ISP_Test.csv","https://www.stockspot.com.au/","False","False","True","False","200","['200']","['200']","['200']","['200']","['200']","['False', 'False', 'True']","IP Blocking"
"ISP_Test.csv","http://www.anime-sharing.com/","False","False","True","False","200","['403']","['403']","['200']","['403']","['403']","['False', 'False', 'True']","IP Blocking"
"ISP_Test.csv","https://www.imovies.cc","False","False","True","False","403","['403']","['403']","['403']","['403']","['403']","['False', 'False', 'True']","Domain Not Live"
